year,month,day,tmin,tmax,wind,rain
# Merlimau, Melaka; 2.253213 N, 102.451753 E; 1987/1/1 - 2008/12/31
1987,1,1,23.2,36.6,1.5,0
1987,1,2,23.6,32.9,2.5,0
1987,1,3,21.3,35.1,2,0
1987,1,4,21.9,37.2,2,0
1987,1,5,21.7,36.4,2.1,0
1987,1,6,23,35.9,3.1,0
1987,1,7,23.2,29.6,3.3,22
1987,1,8,22.6,28.4,3.4,0
1987,1,9,22.5,29,3.4,0
1987,1,10,22.4,30.7,2.7,7.1
1987,1,11,22.5,25.9,1.7,14.4
1987,1,12,21.9,24.9,2.6,23.9
1987,1,13,21.2,27.3,3.1,0
1987,1,14,21.8,29.6,3.5,9
1987,1,15,20.5,32.5,2.6,0
1987,1,16,21.2,32.4,3,9
1987,1,17,22.5,32.2,3.6,6
1987,1,18,21.7,34.6,2.5,0
1987,1,19,22.9,34.8,2.2,0
1987,1,20,22,37,2.1,3
1987,1,21,23,31.4,2.9,14.1
1987,1,22,23.4,33.1,3.7,0
1987,1,23,23,32.1,1.8,0
1987,1,24,21.6,30.6,2.7,0
1987,1,25,22.6,29.2,3.9,6.4
1987,1,26,22.2,27.1,4.1,6.8
1987,1,27,21.7,30.9,3.1,0
1987,1,28,22.3,29.4,4,0
1987,1,29,23,28.5,3.4,14.1
1987,1,30,22.1,32.1,3.1,0
1987,1,31,22.3,33.4,4,7
1987,2,1,23.2,32.8,4.9,0
1987,2,2,22.2,31.8,5.5,0
1987,2,3,22,31.8,5.4,0
1987,2,4,22.9,30.4,4.9,0
1987,2,5,22.8,27.6,4.4,0
1987,2,6,21.7,33.9,3.6,0
1987,2,7,21.9,35.1,2.9,0
1987,2,8,23,31.4,3.1,0
1987,2,9,22.1,34.7,3.3,0
1987,2,10,22.6,31.6,3.1,10
1987,2,11,21.6,36.5,2.2,0
1987,2,12,22.8,34.5,2.8,0
1987,2,13,23.2,35.3,2.6,0
1987,2,14,23.8,33.6,2.8,0
1987,2,15,23,35,3.1,0
1987,2,16,23.1,37.1,2.7,0
1987,2,17,23.9,34.1,2.8,0
1987,2,18,23,33.9,2.5,0
1987,2,19,22.5,31.8,3.1,0
1987,2,20,23.6,34.7,2.8,0
1987,2,21,23,36.5,2.9,0
1987,2,22,23,33.1,3.1,0
1987,2,23,23.2,36.6,2.3,0
1987,2,24,23.4,32.4,2.8,0
1987,2,25,23.4,26.2,2.5,0
1987,2,26,22.1,33.5,2.5,0
1987,2,27,24,33.6,3.1,0
1987,2,28,24.1,35.7,2,0
1987,3,1,22.4,36,2.2,0
1987,3,2,22.5,37,3,3.2
1987,3,3,23,32,3.5,0
1987,3,4,23,34.5,3.8,0
1987,3,5,23.2,31.7,3,0
1987,3,6,23.2,28.8,1.9,8.4
1987,3,7,23.5,33.8,2.4,7
1987,3,8,23.2,39.2,2,0
1987,3,9,23.1,37.8,1.8,0
1987,3,10,22.9,35.3,2.1,6.4
1987,3,11,23,34.1,2.4,0
1987,3,12,23.8,33.4,2.5,0
1987,3,13,22.5,38.4,2,0
1987,3,14,23.9,33.2,1.8,5.6
1987,3,15,22.8,32,0.8,7.5
1987,3,16,24,33.5,1.9,0
1987,3,17,23.4,32.7,1.4,0
1987,3,18,24,31.8,1.3,0
1987,3,19,23.4,32.4,1.8,20.4
1987,3,20,24.4,29.7,1.8,0
1987,3,21,24.3,33.5,2.1,32.4
1987,3,22,23.3,31.7,1.5,0
1987,3,23,22.3,31.7,1.5,0
1987,3,24,24,28.6,1.9,37.9
1987,3,25,21.2,36.1,1.6,0
1987,3,26,23.6,39,1.8,0
1987,3,27,23,39.8,1.7,0
1987,3,28,22.4,39.8,1.6,0
1987,3,29,23,35.3,2.3,0
1987,3,30,23.1,30.5,2.4,0
1987,3,31,23.2,34.3,3.5,0
1987,4,1,23,32.9,2.5,0
1987,4,2,23.7,37.5,2,20.7
1987,4,3,24.2,39.7,1.8,0
1987,4,4,23.2,40.4,1.8,0
1987,4,5,22.7,34.2,1.9,9
1987,4,6,22.5,33.3,1.3,0
1987,4,7,22.9,29.7,2.1,14.4
1987,4,8,23.1,31.3,1.4,22.3
1987,4,9,22.6,30.4,1.8,12.5
1987,4,10,23.8,28.9,1.3,17.3
1987,4,11,23.7,29.9,1.5,0
1987,4,12,23.9,33.7,1.5,0
1987,4,13,22.7,34,1.1,16.5
1987,4,14,22.8,35.3,1,0
1987,4,15,22.8,33.1,1.3,0
1987,4,16,22.5,34.5,1.8,8.7
1987,4,17,21.7,38.8,1.5,0
1987,4,18,24.3,36.6,1.5,0
1987,4,19,24.1,33,1.5,9.9
1987,4,20,23,30.4,1.7,9.2
1987,4,21,22.8,30.9,1.4,10
1987,4,22,23.2,35.1,1.4,5.6
1987,4,23,22.5,34.9,1.3,0
1987,4,24,22.3,35.7,1.1,0
1987,4,25,21.8,33.8,0.9,0
1987,4,26,23,32.7,0.8,16.7
