yap,yield,totrad,drrad,dfrad,rain,netrain,assimilates,assim4maint,assim4growth,assim4gen,vdmgro,tdmgro,et_crop,et_soil,aet_crop,aet_soil,dp,layers1_t,layers2_t,layers3_t,layers1_influx,layers2_influx,layers3_influx,layers1_outflux,layers2_outflux,layers3_outflux,layers1_netflux,layers2_netflux,layers3_netflux,lai,parts_pinnae_weight,parts_rachis_weight,frdwgt,parts_trunk_weight,parts_roots_weight,parts_maleflo_weight,parts_femaflo_weight,parts_bunches_weight,trunkhgt,roots_depth,roots_vwc,roots_wc,layers1_vwc,layers2_vwc,layers3_vwc,layers1_wc,layers2_wc,layers3_wc,tmin,tmax,wind,cgr,bi,nar,waterdeficit
1,1.077,5722.147,2095.175,3626.972,2232.5,1628.609,41.092,16.032,5.376,19.684,3.33,4.407,112.832,560.913,112.832,560.864,956.195,39.847,72.985,0.0,1628.609,1030.503,946.079,1030.503,946.079,928.698,-2.613,11.439,17.382,0.164,1.244,2.536,3.78,0.729,0.57,0.451,1.078,6.988,0.093,0.255,0.364,92.847,0.295,0.381,0.381,14.76,226.919,343.317,23.45,32.04,1.764,0.652,0.244,7.645,0.0
2,22.509,5635.665,2016.191,3619.474,1878.1,1370.074,92.565,28.032,15.351,49.182,9.508,32.017,212.903,492.092,212.903,492.011,653.185,61.963,150.94,0.0,1370.074,812.441,641.074,812.441,641.074,653.812,3.646,20.427,-12.738,0.39,3.481,7.412,10.893,2.525,1.626,0.732,1.487,7.236,0.28,0.309,0.408,126.282,0.368,0.416,0.367,18.407,247.345,330.579,23.276,31.868,1.762,4.739,0.703,23.354,0.0
3,42.828,5691.166,2119.629,3571.536,1695.5,1236.867,233.768,80.582,55.192,97.994,34.185,77.013,539.961,405.509,473.014,404.198,420.628,118.163,355.773,0.0,1236.867,721.982,474.455,721.982,474.455,529.611,-7.669,-108.245,-55.156,1.22,10.939,23.65,34.588,8.982,4.797,0.813,1.594,9.652,0.56,0.359,0.231,82.976,0.215,0.234,0.306,10.738,139.1,275.423,23.152,32.115,1.727,11.398,0.556,17.966,66.947
4,57.526,5770.926,2160.845,3610.08,1790.2,1305.951,462.317,196.618,122.948,142.752,76.151,133.677,1112.879,312.941,905.338,311.958,90.439,201.901,707.071,0.0,1305.951,787.819,90.805,787.819,90.805,117.394,4.098,-10.057,-26.588,2.803,25.26,54.814,80.073,23.366,11.252,1.203,3.094,16.737,0.933,0.403,0.227,91.475,0.297,0.217,0.276,14.836,129.043,248.835,23.268,32.236,1.763,19.784,0.43,13.572,207.541
5,74.386,5757.942,2150.567,3607.375,2240.8,1634.664,682.545,347.439,158.945,176.16,98.447,172.833,1383.556,278.258,1175.836,277.285,173.22,236.277,944.307,0.0,1634.664,1124.75,162.433,1124.75,162.433,119.549,-3.788,18.01,42.884,4.224,38.25,83.084,121.333,41.962,18.434,2.223,6.219,20.766,1.399,0.45,0.244,109.846,0.221,0.247,0.324,11.048,147.053,291.719,23.341,32.173,1.584,25.579,0.43,11.647,207.72
6,86.496,5678.302,2062.72,3615.582,2014.9,1469.87,794.96,437.238,167.704,190.019,103.873,190.369,1405.665,255.741,1069.605,254.954,94.267,195.866,878.332,0.0,1469.87,1013.42,77.217,1013.42,77.217,97.346,5.498,57.87,-20.129,4.986,45.384,98.617,144.0,61.582,24.574,3.215,5.759,21.174,1.959,0.491,0.343,168.36,0.331,0.344,0.302,16.546,204.924,271.59,23.159,32.015,1.78,28.175,0.454,10.867,336.06
7,101.36,5681.181,2042.513,3638.667,1902.1,1359.764,886.298,483.494,176.008,226.796,109.016,210.376,1439.371,262.021,1060.878,261.449,28.432,179.955,884.894,0.0,1359.764,913.504,31.136,913.504,31.136,67.0,4.76,-2.525,-35.864,5.501,50.327,109.38,159.708,82.174,29.834,1.786,4.073,23.233,2.611,0.53,0.348,184.428,0.426,0.34,0.262,21.307,202.399,235.726,23.297,31.956,1.727,31.136,0.482,10.884,378.493
8,110.666,5605.077,1982.087,3622.99,1868.6,1289.572,948.077,512.029,187.072,248.976,115.868,226.535,1491.036,249.613,1063.882,249.152,26.151,168.827,901.537,0.0,1289.572,871.42,36.941,871.42,36.941,44.449,0.087,-67.058,-7.508,5.966,54.858,119.24,174.098,104.06,34.619,1.795,5.01,25.447,3.357,0.567,0.245,139.068,0.428,0.227,0.254,21.393,135.341,228.218,23.309,31.767,1.985,33.527,0.489,10.807,427.155
9,116.295,5674.049,2042.815,3631.234,1984.2,1324.142,974.357,523.978,186.467,263.911,115.494,231.789,1501.564,218.999,1053.047,216.859,47.419,156.643,901.805,0.0,1324.142,952.401,44.858,952.401,44.858,38.072,-1.96,5.738,6.786,6.21,57.394,124.758,182.152,125.876,38.258,2.631,4.85,29.469,4.197,0.604,0.25,150.855,0.389,0.237,0.261,19.433,141.079,235.004,23.565,31.845,1.64,34.305,0.502,10.624,448.517
10,129.373,5741.197,2082.991,3658.206,2090.6,1368.237,1032.807,549.658,199.894,283.255,123.81,253.183,1557.986,235.17,1114.996,234.375,31.133,156.349,964.029,0.0,1368.237,985.709,29.517,985.709,29.517,40.44,-8.312,-7.838,-10.923,6.538,60.745,132.049,192.794,149.262,41.929,2.038,3.797,31.72,5.129,0.642,0.224,143.603,0.222,0.224,0.249,11.12,133.241,224.081,23.581,31.996,1.581,37.471,0.511,11.021,442.99
